genere,sottogenere
black metal,atmospheric black metal
singer-songwriter,avtorskaya pesnya
progressive rock,avant-prog
pop,avant-garde pop
keroncong,langgam jawa
jazz,avant-garde jazz
metal,avant-garde metal
sludge metal,atmospheric sludge metal
rock,art rock
punk,art punk
pop,art pop
medieval,ars antiqua
medieval,ars nova
medieval,ars subtilior
funk brasileiro,arrocha funk
rock,anatolian rock
rock,arena rock
hip hop,arabesk rap
folk,appalachian folk
rock,aor
contemporary folk,anti-folk
punk,anarcho-punk
contemporary folk,american primitive guitar
ambient,ambient americana
house,ambient house
harsh noise wall,ambient noise wall
pop,ambient pop
techno,ambient techno
trance,ambient trance
house,amapiano
country,alternative country
rock,alternative rock
punk,alternative punk
pop,alternative pop
contemporary folk,avant-folk
hip hop,alternative hip hop
contemporary folk,alternative folk
metal,alternative metal
electronic,algorave
j-pop,akishibu-kei
dark electro,aggrotech
hip hop,afroswing
jazz,afro-jazz
latin jazz,afro-cuban jazz
funk,afro-funk
hip hop,afro trap
rock,afro rock
blues,african blues
texas blues,acoustic texas blues
texas blues,electric texas blues
blues,texas blues
chicago blues,acoustic chicago blues
blues,chicago blues
rock,acoustic rock
blues,acoustic blues
trance,acid trance
techno,acid techno
house,acid house
psychedelic rock,acid rock
hip hop,abstract hip hop
uk garage,2-step
ska,2 tone
hardcore punk,burning spirits
pop rock,burmese stereo
highlife,burger-highlife
hardcore techno,belgian techno
pop,bubblegum pop
edm,bubblegum bass
progressive rock,brutal prog
death metal,brutal death metal
dubstep,brostep
country pop,bro-country
alternative rock,britpop
r&b,british rhythm & blues
folk rock,british folk rock
blues,british blues
hardcore hip hop,britcore
funk,brit funk
pop,brill building
brega,brega calypso
breakbeat,acid breaks
breakbeat,big beat
breakbeat,breakbeat hardcore
breakbeat,nu skool breaks
breakbeat,progressive breaks
breakcore,lolicore
breakcore,mashcore
comedy,break-in
hip hop,bounce
samba,bossa nova
hip hop,boom bap
blues,boogie-woogie
blues rock,boogie rock
disco,boogie
latin,boogaloo
hip hop,bongo flava
canción melódica,bolero-beat
bluegrass,bluegrass gospel
bluegrass,progressive bluegrass
country,bluegrass
r&b,blue-eyed soul
techno,bleep techno
death metal,blackened death metal
crust punk,blackened crust
noise,black noise
black metal,depressive black metal
black metal,melodic black metal
black metal,pagan black metal
black metal,symphonic black metal
black metal,war metal
metal,black metal
dark ambient,black ambient
black metal,black 'n' roll
bit music,bytebeat
bit music,chiptune
electronic,bit music
house,big room house
jazz,big band
progressive electronic,berlin school
chinese opera,beijing opera
chinese opera,cantonese opera
chinese opera,yue opera
beijing opera,chinese revolutionary opera
indie pop,bedroom pop
jazz,bebop
hardcore punk,beatdown hardcore
poetry,beat poetry
pop rock,beat music
funk mandelão,beat bruxaria
hip hop,battle rap
brega funk,batidão romântico
edm,breakcore
edm,bubbling
kuduro,batida
uk garage,bassline
house,bass house
pop,baroque pop
western classical,baroque
pop,bardcore
banda sinaloense,technobanda
house,balearic beat
country,bakersfield sound
folk,bagad
latin,bachata
jazz,cape jazz
celtic,cape breton fiddling
cantoria,repente
c-pop,cantopop
c-pop,mandopop
c-pop,zhongguo feng
psychedelic rock,canterbury scene
pop,canción melódica
zouk,cabo zouk
musical,cabaret
indie pop,c86
pop,c-pop
grindcore,cybergrind
industrial metal,cyber metal
cumbia,cumbia argentina
cumbia argentina,cumbia turra
cumbia argentina,cumbia villera
cumbia mexicana,cumbia sonidera
cumbia argentina,cumbia santafesina
cumbia argentina,cumbia pop
cumbia,cumbia peruana
norteño,cumbia norteña mexicana
cumbia,cumbia mexicana
reggaeton,cubatón
crust punk,neocrust
crust punk,stenchcore
hardcore punk,crust punk
hip hop,crunk
progressive rock,crossover prog
jazz,crossover jazz
jazz,crime jazz
punk,cowpunk
edm,coupé-décalé
country pop,countrypolitan
country,country yodeling
traditional country,country gospel
blues,country blues
traditional country,country boogie
sierreño,corrido tumbado
jazz,cool jazz
r&b,contemporary r&b
jazz,contemporary jazz
folk,contemporary folk
gospel,contemporary gospel
country,contemporary country
western classical,contemporary classical
pop,contemporary christian
hip hop,conscious hip hop
electronic,experimental electronic
