genre,rel_sub,rel_inf,rel_fus
3-step,,amapiano,
3-step,,broken beat,
3-step,,deep house,
acholitronix,,edm,
acid breaks,,acid house,
acid jazz,,,funk
acid jazz,,,hip hop
acid jazz,,,jazz
acid jazz,,,soul
acid techno,,acid house,
acid trance,,acid house,
acidcore,,acid techno,
acoustic blues,jug band,,
adhunik geet,,ghazal,
adhunik geet,,hindustani classical,
afoxê,,,
afro house,,deep house,
afro house,,kwaito,
afro house,3-step,,
afro-zouk,,soukous,
afrobeat,,,funk
afrobeat,,,highlife
afrobeat,,,jazz
afrobeats,afropiano,,
afrobeats,alté,,
afropiano,,amapiano,
afroswing,,afrobeats,
afroswing,,contemporary r&b,
afroswing,,dancehall,
agbadza,,,
agbekor,,,
ahwash,,,
aita,,,
akishibu-kei,,shibuya-kei,
al jeel,,,
aleke,,,
algerian chaabi,,,
alloukou,,,
alpenrock,,,
alternative country,gothic country,,
alternative dance,,,alternative rock
alternative dance,,,dance
alternative dance,madchester,,
alternative dance,new rave,,
alternative metal,nu metal,,
alternative metal,neue deutsche härte,,
alternative metal,rap metal,,
alternative rock,britpop,,
alternative rock,dream pop,,
alternative rock,emo,,
alternative rock,grunge,,
alternative rock,grebo,,
alternative rock,indie rock,,
alternative rock,j-rock,,
alternative rock,lo-fi,,
alternative rock,post-grunge,,
alternative rock,post-britpop,,
alternative rock,shoegaze,,
alternative rock,geek rock,,
amapiano,,deep house,
amapiano,,gqom,
amapiano,,kwaito,
ambasse bey,,,
ambient,ambient americana,,
ambient,space ambient,,
ambient,tribal ambient,,
ambient,kankyō ongaku,,
ambient americana,,americana,
ambient dub,,,ambient
ambient dub,,,dub
ambient house,,ambient,
ambient noise wall,,ambient,
ambient plugg,,ambient,
ambient pop,,ambient,
ambient pop,,dream pop,
ambient techno,,ambient,
ambient trance,,ambient,
american gamelan,,,gamelan
american gamelan,,,modern classical
americana,,blues,
americana,,contemporary folk,
americana,,country,
amigacore,,gabber,
andalusian classical,malouf,,
anglican chant,,sarum chant,
animal sounds,whale song,,
animal sounds,birdsong,,
apala,,,
aquacrunk,,dubstep,
aquacrunk,,grime,
arabesk rap,,arabesk,
arrocha sertanejo,,,arrocha
arrocha sertanejo,,,sertanejo universitário
arrochadeira,,,arrocha
arrochadeira,,,pagodão
art song,lute song,,
art song,russian romance,,
art song,orchestral song,,
art song,mélodie,,
art song,lied,,
art song,spiritual art song,,
artcore,,western classical,
artcore,,drum and bass,
ashkenazi cantorial music,,western classical,
asmr,,,
assiko,,,
atmospheric drum and bass,,ambient,
atmospheric drum and bass,,ambient house,
audio documentary,,,
audio drama,,,
autonomic,,dubstep,
autonomic,,future garage,
avant-folk,,avant-garde,
avant-garde jazz,,avant-garde,
avant-garde jazz,free funk,,
avant-garde metal,,avant-garde,
avant-garde pop,,avant-garde,
avant-prog,,avant-garde,
avant-prog,zeuhl,,
avanzada,,,guarania
avanzada,,,polka paraguaya
avanzada,,bossa nova,
avanzada,,mpb,
avtorskaya pesnya,,russian romance,
axé,,,calypso
axé,,,forró
axé,,,frevo
axé,,,maracatu
axé,,,reggae
bacardi,,shangaan electro,
bachatón,,bachata,
baila,,,
baithak gana,,,
balearic trance,,balearic beat,
balinese gamelan,gamelan semar pegulingan,,
balinese gamelan,gamelan jegog,,
balinese gamelan,gamelan gong kebyar,,
balinese gamelan,gamelan gong gede,,
balinese gamelan,gamelan gender wayang,,
balinese gamelan,gamelan beleganjur,,
balinese gamelan,gamelan angklung,,
balinese gamelan,gamelan selunding,,
balinese gamelan,gamelan joged bumbung,,
balitaw,,,
ballad,latin ballad,,
ballad opera,,folk,
ballet,ballet de cour,,
ballet,comédie-ballet,,
baltimore club,,breakbeat,
baltimore club,,ghetto house,
baltimore club,,miami bass,
banda sinaloense,technobanda,,
bandari,,,
bandinha,,,
banga,,,
bantengan,,,
baqashot,,,
barber beats,,downtempo,
barber beats,,instrumental hip hop,
barber beats,,trip hop,
barbershop,jubilee,,
bard rock,,,avtorskaya pesnya
bard rock,,,rock
bardcore,,medieval,
baroque pop,,western classical,
bashment soca,,dancehall,
bassline,,house,
batidão romântico,,arrocha,
batidão romântico,,kizomba,
batonebi songs,iavnana,,
batucada,,,
batuque,,,
baul gaan,,,
beach music,,pop,
beach music,,soul,
beat bolha,,funk carioca,
beat music,,rock and roll,
beat music,group sounds,,
beat music,jovem guarda,,
beat music,nederbeat,,
beat music,merseybeat,,
beat rock,,new wave,
beat rock,,pop rock,
beat rock,,punk rock,
beatboxing,,hip hop,
beatdown hardcore,,tough guy hardcore,
bedoui wahrani,,malhun,
beijing opera,chinese revolutionary opera,,
belgian techno,,ebm,
belgian techno,,new beat,
belgian techno,,techno,
benna,,,
beompae,,,
berlin school,,krautrock,
bhajan,,,
bhangra,,,folk
bhangra,,,pop
bhavageethe,,,
big band,experimental big band,,
big room house,,,electro house
big room house,,,progressive house
big room trance,,big room house,
big room trance,,electro house,
big room trance,,tech trance,
biguine,,,bélé
biguine,,,polka
birmingham sound,,acid techno,
bit music,bytebeat,,
bit music,chiptune,,
bit music,fm synthesis,,
bit music,doskpop,,
bitpop,,,bit music
bitpop,,,pop
black 'n' roll,,hard rock,
black 'n' roll,,heavy metal,
black ambient,,black metal,
black metal,atmospheric black metal,,
black metal,depressive black metal,,
black metal,melodic black metal,,
black metal,pagan black metal,,
black metal,symphonic black metal,,
black metal,war metal,,
black metal,black 'n' roll,,
black metal,dissonant black metal,,
black noise,,black metal,
blackened crust,,black metal,
blackened death metal,,black metal,
blackgaze,,,black metal
blackgaze,,,shoegaze
blue-eyed soul,,pop,
bluegrass,bluegrass gospel,,
bluegrass,progressive bluegrass,,
bluegrass,traditional bluegrass,,
bluegrass gospel,,country gospel,
blues,african blues,,
blues,texas blues,,
blues,chicago blues,,
blues,acoustic blues,,
blues,british blues,,
blues,boogie-woogie,,
blues,,spirituals,
blues,country blues,,
blues,classic blues,,
blues,delta blues,,
blues,electric blues,,
blues,hill country blues,,
blues,jump blues,,
blues,louisiana blues,,
blues,modern blues,,
