Artista,Ascolti,AscoltiFilter,TracceUniche,TracceUnicheFilter
Gioachino Rossini,9264,6431,2374,1882
Giuseppe Verdi,6307,4906,848,693
Fabrizio De André,4047,2377,476,424
Ed Sheeran,2450,987,77,54
Pinguini Tattici Nucleari,2004,1077,97,86
Billie Eilish,1896,1558,89,86
Radiohead,1792,1507,255,245
Wolfgang Amadeus Mozart,1775,1449,753,633
100 gecs,1622,1262,59,56
Pop X,1603,1088,145,133
Beirut,1598,1253,166,155
Lhasa De Sela,1588,1296,51,49
Olivia Rodrigo,1467,1182,109,106
jizue,1445,1092,215,192
Parno Graszt,1440,1171,209,177
Harry Styles,1424,528,33,25
Bob Dylan,1396,1032,312,281
Ludwig van Beethoven,1380,1112,474,408
Pomme,1357,1216,128,125
Hector Berlioz,1355,1004,253,215
Genesis,1341,1148,223,212
Elton John,1297,459,88,75
Neutral Milk Hotel,1252,1064,77,77
Sigur Rós,1208,1071,210,204
Yann Tiersen,1203,910,307,286
Electric Light Orchestra,1200,946,165,158
Lewis Capaldi,1187,580,30,28
Sonata Arctica,1151,863,299,266
Antonín Dvořák,1108,986,393,365
Gustav Mahler,1100,921,232,210
Xenia Rubinos,1085,905,46,39
Pyotr Ilyich Tchaikovsky,1073,883,531,457
Sum 41,1048,675,127,107
Angèle,1047,887,56,55
Fleetwood Mac,1035,810,179,168
Camille Saint-Saëns,1009,791,320,272
Epica,996,819,200,177
Jethro Tull,989,770,165,149
We Butter The Bread With Butter,968,671,77,69
Oklou,937,849,82,75
The Strokes,927,773,65,63
Balmorhea,916,767,157,153
Frédéric Chopin,870,754,197,175
Lila Downs,868,561,146,118
Ólafur Arnalds,859,743,103,100
death's dynamic shroud,851,756,176,166
Francesco Guccini,824,531,138,109
Himera,807,714,67,66
Sufjan Stevens,789,530,132,126
Pink Floyd,777,648,232,208
"Black Country, New Road",759,626,72,70
Richard Wagner,745,644,300,276
Edvard Grieg,742,657,200,176
The Lumineers,734,309,15,13
Premiata Forneria Marconi,719,533,148,135
SPELLLING,713,656,43,43
Juaneco Y Su Combo,703,555,47,46
Passenger,679,265,98,73
Bruce Springsteen,678,448,111,101
Danit,668,558,18,18
Johann Sebastian Bach,666,598,131,95
Gia Margaret,665,600,86,84
Johannes Brahms,662,593,166,148
Katy Perry,656,108,27,15
