ArtistName,MainGenre,SubGenre
DOMi & JD BECK,jazz,nu jazz
underscores,electronic,hyperpop
God Is An Astronaut,rock,post-rock
Javier Vazquez,folk,salsa
Cibo Matto,hip-hop,trip-hop
nayt,hip-hop,rap
Rok.wav,electronic,hyperpop
okgiorgio,electronic,italian indie
Creeds,rock,alternative rock
Geese,rock,post-punk
Ninajirachi,electronic,hyperpop
THÉA,electronic,hyperpop
Enya,folk,celtic
The Books,electronic,experimental
Belle and Sebastian,pop,indie
Massimo Silverio,folk,experimental
Bumloco,,
TROE,,
Queen of Saba,pop,electronic
LA NIÑA,folk,italian
Luiz Gonzaga,forro,baiao
faccianuvola,Electronic,electropop
Yoa,Pop,yandex music
SPELLLING,Electronic,art pop
alt-J,Rock,indie
IC3PEAK,Electronic,witch house
SZA,Funk / Soul,rnb
Lil Wayne,Hip Hop,hip-hop
HVDES,Electronic,midtempo bass
Hiatus Kaiyote,Funk / Soul,soul
Iglooghost,Electronic,wonky
BENNETT,Electronic,rap
Drink Chocolate,,
S3RL,Electronic,happy hardcore
horsegiirL,Electronic,hyperpop
serpentwithfeet,Funk / Soul,soul
Epica,Rock,symphonic metal
Fatoumata Diawara,"Folk, World, & Country",mali
Parno Graszt,"Folk, World, & Country",gypsy
Die Antwoord,Hip Hop,hip-hop
La Femme,Rock,french
Lingua Ignota,Electronic,industrial
galen tipton,Electronic,wonky
Bonobo,Electronic,downtempo
ultra caro,Electronic,ambient
Kælan Mikla,Rock,darkwave
Melanie Martinez,Pop,indie
Unicorn On Ketamine,Electronic,spain
MGNA Crrrta,Electronic,electropop
Gupi,Electronic,bubblegum bass
Mietze Conte,Electronic,austria
Opa Tsupa,Jazz,swing
Mathilde Fernandez,Electronic,french
Meryem Aboulouafa,Pop,morocco
Tonino3000,Electronic,italian
Alternative Station,Rock,garage rock
Cavetown,Rock,indie pop
Elliott Smith,Rock,singer-songwriter
Olivia Rodrigo,Pop,pop rock
Eartheater,Electronic,experimental
Giant Claw,Electronic,vaporwave
Giraffes? Giraffes!,Rock,math rock
Dorian Electra,Electronic,hyperpop
Le Wanski,Electronic,france
Gaël Faye,Hip Hop,rap
Susumu Yokota,Electronic,ambient
Ö,Electronic,idm
Nightwish,Rock,symphonic metal
ascendant vierge,Electronic,drum and bass
Technical Hitch,Electronic,psytrance
Tongo,Latin,peruvian
GFOTY,Electronic,bubblegum bass
Curawaka,Latin,brazil
Arca,Electronic,experimental
CUBISMO GRAFICO,Electronic,shibuya-kei
Anjimile,Rock,indie pop
Lala Lala,Rock,lo-fi
JPEGMAFIA,Hip Hop,hip-hop
Pomme,Pop,french
Caroline Polachek,Pop,art pop
Adé,Hip Hop,french
Daniela Pes,Pop,art pop
Sega Bodega,Electronic,grime
Froukje,Pop,dutch
death's dynamic shroud,Electronic,vaporwave
Gia Margaret,Rock,ambient
Shantel,"Folk, World, & Country",balkan
Protomartyr,Rock,post-punk
The Murder Capital,Rock,post-punk
James Blake,Electronic,dubstep
Squid,Rock,post-punk
Grizzly Bear,Rock,indie
Mario Diaz de Leon,Electronic,experimental
Xenia Rubinos,Funk / Soul,experimental
Himera,Electronic,trance
ibitram,,
Cage The Elephant,Rock,indie rock
Oklou,Electronic,art pop
"Black Country, New Road",Rock,post-punk
Against All Logic,Electronic,ebm
Hannah Diamond,Electronic,bubblegum bass
Kero Kero Bonito,Electronic,electropop
Ryo Fukui,Jazz,japanese
The Dø,Rock,indie
Fire-Toolz,Electronic,experimental
Noisia,Electronic,
Tim Hecker,Electronic,ambient
Voidvísir,,
Quelle Chris,Hip Hop,hip-hop
Shygirl,Electronic,grime
Cobrah,Electronic,hip house
Jamie xx,Electronic,dubstep
CHLOE (Thévenin),Stage & Screen,soundtrack
Pink Siifu,Hip Hop,jazz rap
Venetian Snares,Electronic,breakcore
Mansfield.TYA,"Folk, World, & Country",french
Tarta Relena,"Folk, World, & Country",folk
Nero's Day At Disneyland,Electronic,breakcore
Apashe,Electronic,trap
Extrafish,,
Liquid Bloom,Electronic,psychedelic
100 gecs,Electronic,hyperpop
Xiu Xiu,Rock,experimental
Nils Frahm,Classical,piano
Pinguini Tattici Nucleari,Rock,italian
FKJ,Electronic,funk
Pixies,Rock,alternative rock
OTTO,Latin,manguebeat
Nanan,Latin,brazil
Fanfare Ciocarlia,"Folk, World, & Country",balkan
Lido Pimienta,Latin,colombian
Shpongle,Electronic,psychedelic
HMLTD,Rock,post-punk
HWLS,Hip Hop,trap
Modest Mussorgsky,Classical,romantic
Gipsy Kings,Latin,flamenco
Uochi Toki,Hip Hop,hip-hop
Après La Classe,Reggae,ska
Buena Vista Social Club,Latin,cuban
Haris Alexiou,"Folk, World, & Country",greek
Octave Cat,Funk / Soul,funk
House of Waters,Jazz,instrumental
Seiji Ozawa,Classical,conductor
Mahala Rai Banda,"Folk, World, & Country",gypsy
Slow Attack Ensemble,Electronic,ambient
Juggernaut,Rock,thrash metal
The Pogues,Rock,folk
Conceptor,Rock,thrash metal
Lila Downs,Latin,mexico
Portico Quartet,Jazz,electronic
Hiroshi Yoshimura,Electronic,ambient
Crooked Colours,Electronic,indie
MIGMA SHELTER,Pop,idol
Norbert Susemihl,Jazz,germany
Angèle,Pop,belgium
Polo & Pan,Electronic,indie pop
João Gilberto,Latin,bossa nova
Car Seat Headrest,Rock,lo-fi
Katie Dey,Electronic,hypnagogic pop
The Physics House Band,Rock,math rock
Besh o droM,"Folk, World, & Country",balkan
the olllam,"Folk, World, & Country",celtic
Ray Charles,Funk / Soul,jazz
Eugenio Bennato,"Folk, World, & Country",italian
Ruben Gonzalez,Latin,cuban
múm,Electronic,ambient
Jon Hopkins,Electronic,ambient
Ólafur Arnalds,Classical,ambient
Aaron Copland,Classical,contemporary classical
Harry Belafonte,"Folk, World, & Country",calypso
Juaneco Y Su Combo,Latin,cumbia
David Bowie,Rock,glam rock
Tracy Chapman,"Folk, World, & Country",folk
Cesária Evora,"Folk, World, & Country",latin
Bebeto,Latin,samba
Walter De Afogados,,
TRI4TH,Jazz,japanese
XXXTENTACION,Hip Hop,hip-hop
Trio Bobo,Jazz,italian
Mammal Hands,Jazz,instrumental
The Modern Jazz Quartet,Jazz,cool jazz
Tangerine Dream,Electronic,ambient
Elephant Sessions,"Folk, World, & Country",folk
Treacherous Orchestra,"Folk, World, & Country",folk rock
"Emerson, Lake & Palmer",Rock,progressive rock
Orchestra Baobab,"Folk, World, & Country",african
Afro Celt Sound System,"Folk, World, & Country",celtic
Lúnasa,"Folk, World, & Country",celtic
Felix Mendelssohn,Classical,romantic
Piglet,Rock,math rock
jizue,Rock,post-rock
Between The Buried And Me,Rock,progressive metal
Snarky Puppy,Jazz,fusion
toe,Rock,post-rock
Elephant Gym,Rock,math rock
TTNG,Rock,math rock
tide/edit,Rock,post-rock
Via Luna,Rock,math rock
Yvette Young,Rock,math rock
Chon,Rock,math rock
Clever Girl,Rock,math rock
Herbie Hancock,Jazz,funk
Vasco Brondi,Pop,indie
Cymande,Funk / Soul,funk
Fazıl Say,Classical,classical
Jefferson Airplane,Rock,psychedelic rock
Childish Gambino,Hip Hop,hip-hop
Pippo Sowlo,Hip Hop,trap
Laurent Garnier,Electronic,techno
Michael Giacchino,Stage & Screen,soundtrack
Madeleine Peyroux,Jazz,blues
Tommy Igoe and the Birdland Big Band,Jazz,big band
Ed Carlsen,Classical,piano
Karl Peinkofer Percussion Ensemble,,
Talk Talk,Rock,new wave
Dark Rooms,Electronic,indie
Kendrick Lamar,Hip Hop,hip-hop
MASTER BOOT RECORD,Electronic,chiptune
Kokoroko,Jazz,afrobeat
Khruangbin,Funk / Soul,funk
Carla Bruni,Pop,french
Françoise Hardy,Pop,french
Antonín Dvořák,Classical,romantic
George Gershwin,Classical,jazz
Nina Simone,Jazz,soul
Jim Hall & Pat Metheny,Jazz,
Led Zeppelin,Rock,classic rock
Estas Tonne,"Folk, World, & Country",acoustic guitar
Four Tet,Electronic,idm
Creedence Clearwater Revival,Rock,classic rock
Car Bomb,Rock,mathcore
James Brown,Funk / Soul,funk
Blue Öyster Cult,Rock,hard rock
Dire Straits,Rock,classic rock
Quantic,Electronic,downtempo
Pendulum,Electronic,drum and bass
The Bad Plus,Jazz,contemporary jazz
Chick Corea,Jazz,fusion
Nuuro,Electronic,idm
Steely Dan,Rock,jazz rock
TOOL,Rock,progressive metal
Zedd,Electronic,electro house
Leonard Cohen,"Folk, World, & Country",folk
Stefano Bollani,Jazz,piano
Maurice Ravel,Classical,impressionist
The Jackson 5,Funk / Soul,soul
Liquid Tension Experiment,Rock,progressive metal
Dizzy Gillespie,Jazz,bebop
Britney Spears,Pop,dance
Muse,Rock,alternative rock
Giuseppe Verdi,Classical,opera
Joni Mitchell,"Folk, World, & Country",folk
America,Rock,classic rock
Gioachino Rossini,Classical,opera
John Mayall,Blues,blues rock
Fleetwood Mac,Rock,classic rock
LITE,Rock,math rock
Deep Purple,Rock,hard rock
Wolfgang Amadeus Mozart,Classical,instrumental
Pyotr Ilyich Tchaikovsky,Classical,romantic
Rival Consoles,Electronic,idm
Boston,Rock,classic rock
Art Tatum,Jazz,piano
Camille Saint-Saëns,Classical,romantic
Yann Tiersen,Classical,instrumental
Premiata Forneria Marconi,Rock,progressive rock
Neil Young,Rock,classic rock
Kanye West,Hip Hop,hip-hop
Nektar,Rock,progressive rock
Kebnekajse,Rock,progressive rock
Canned Heat,Blues,blues rock
Semiramis,Rock,progressive rock
Pop X,Electronic,itpop
Mahavishnu Orchestra,Jazz,jazz fusion
Scale The Summit,Rock,progressive metal
Steampacket,Funk / Soul,mod
Sigur Rós,Rock,post-rock
Easy Star All-Stars,Reggae,dub
John Mayall & The Bluesbreakers,Blues,blues rock
The Police,Rock,new wave
Art Blakey & The Jazz Messengers,Jazz,bebop
Lhasa De Sela,"Folk, World, & Country",world
Van Morrison,Rock,singer-songwriter
Ten Years After,Rock,blues rock
"Grover Washington, Jr.",Jazz,smooth jazz
The Band,Rock,classic rock
Hiromi,Jazz,piano
Shubh Saran,Jazz,jazz fusion
Ambrosia,Rock,soft rock
Miles Davis,Jazz,trumpet
Murubutu,Hip Hop,hip-hop
Diablo Swing Orchestra,Rock,avant-garde metal
Journey,Rock,classic rock
Ilya Beshevli,Classical,piano
Simon & Garfunkel,"Folk, World, & Country",folk
Desert Vows,Rock,instrumental
Kyotaro&Rikuo,Electronic,funk
I See Stars,Rock,post-hardcore
Radiohead,Rock,alternative
Popol Vuh,Rock,krautrock
Bondage Fairies,Electronic,8-bit
Arvo Pärt,Classical,contemporary classical
Linda Lyndell,Funk / Soul,soul
L'Arpeggiata,Classical,baroque
Mark Knopfler,Rock,classic rock
Jim Croce,"Folk, World, & Country",folk
Polyphia,Rock,progressive metal
Wang Wen,Rock,post-rock
Sungazer,Jazz,jazz fusion
Trio Of Doom,Jazz,jazz fusion
The World's Greatest Jazz Band,Jazz,dixieland
Tortoise,Rock,post-rock
Eddie Vedder,Rock,singer-songwriter
Ciconia,Rock,post-rock
Electric Light Orchestra,Rock,classic rock
John Butler Trio,Rock,acoustic
The Aristocrats,Rock,progressive rock
Beirut,Rock,folk
The Velvet Underground,Rock,psychedelic
Tame Impala,Rock,psychedelic rock
Derek & The Dominos,Rock,blues rock
Kate Bush,Pop,singer-songwriter
We Lost The Sea,Rock,post-metal
Aphex Twin,Electronic,idm
Kansas,Rock,progressive rock
Balmorhea,Rock,post-rock
Toundra,Rock,post-rock
Olbaid,,
Lou Reed,Rock,classic rock
65daysofstatic,Rock,post-rock
Sports,Rock,dream pop
Commodores,Funk / Soul,soul
The Omnific,Rock,progressive metal
Caspian,Rock,post-rock
Jardín de la Croix,Rock,math rock
Cuzco,Rock,math rock
Penguin Cafe Orchestra,Classical,instrumental
Camel,Rock,progressive rock
Covet,Rock,math rock
Plini,Rock,progressive metal
Procol Harum,Rock,progressive rock
Dead Meadow,Rock,stoner rock
mouse on the keys,Rock,jazz
This Will Destroy You,Rock,post-rock
And So I Watch You from Afar,Rock,post-rock
TV Idols,Rock,garage punk
Greta Van Fleet,Rock,hard rock
Tristeza,Rock,post-rock
Stage Kids,Rock,math rock
El Ten Eleven,Rock,post-rock
Bob Dylan,"Folk, World, & Country",folk
Jethro Tull,Rock,progressive rock
Totorro,Rock,post-rock
Vinicio Capossela,Pop,italian
Francesco Guccini,Pop,italian
Fabrizio De André,Pop,italian
System Of A Down,Rock,alternative metal
The Beatles,Rock,classic rock
King Crimson,Rock,progressive rock
Roger Waters,Rock,progressive rock
Genesis,Rock,progressive rock
Pink Floyd,Rock,progressive rock
