Artista,Genere,TuttiITag,GenereMacro
Gioachino Rossini,classical,"classical, opera, romantic, italian, composers",Classica
Giuseppe Verdi,classical,"classical, opera, italian, romantic, composers",Classica
Fabrizio De André,italian,"italian, singer-songwriter, folk, cantautori, italian songwriters",Folk / Cantautorato
Ed Sheeran,acoustic,"acoustic, british, singer-songwriter, pop, easy-listening",Pop
Pinguini Tattici Nucleari,italian,"italian, indie, singer-songwriter, pop, indie pop",Indie
Billie Eilish,pop,"pop, indie pop, electropop, art pop, alternative",Pop
Radiohead,rock,"rock, alternative, alternative rock, indie, electronic",Rock
Wolfgang Amadeus Mozart,classical,"classical, instrumental, composers, classic, piano",Classica
100 gecs,hyperpop,"hyperpop, bubblegum bass, electronic, experimental, noise pop",Pop
Pop X,itpop,"itpop, electronic, electronica, experimental, italy",Pop
Beirut,folk,"folk, indie, indie folk, singer-songwriter, gypsy",Folk / Cantautorato
Lhasa De Sela,world,"world, folk, latin, singer-songwriter, alternative",Folk / Cantautorato
Olivia Rodrigo,pop,"pop, pop rock, rock, indie pop, singer-songwriter",Pop
jizue,post-rock,"post-rock, instrumental, nu jazz, japanese, piano",Rock
Parno Graszt,gypsy,"gypsy, folk, hungarian, balkan, hungary",Folk / Cantautorato
Harry Styles,pop,"pop, rock, pop rock, alternative, british",Pop
Bob Dylan,folk,"folk, singer-songwriter, classic rock, folk rock, rock",Folk / Cantautorato
Ludwig van Beethoven,classical,"classical, instrumental, romantic, composers, classic",Classica
Pomme,french,"french, chanson, folk, pop, french pop",Folk / Cantautorato
Hector Berlioz,classical,"classical, romantic, french, composers, opera",Classica
Genesis,progressive rock,"progressive rock, classic rock, rock, 80s, progressive",Rock
Elton John,pop,"pop, classic rock, singer-songwriter, rock, piano",Pop
Neutral Milk Hotel,folk,"folk, indie, lo-fi, indie rock, elephant 6",Folk / Cantautorato
Sigur Rós,post-rock,"post-rock, ambient, icelandic, alternative, indie",Rock
Yann Tiersen,instrumental,"instrumental, soundtrack, french, piano, classical",Classica
Electric Light Orchestra,classic rock,"classic rock, progressive rock, rock, 70s, british",Rock
Lewis Capaldi,pop,"pop, scottish, pop rock, singer-songwriter, alternative",Pop
Sonata Arctica,power metal,"power metal, symphonic metal, melodic metal, finnish, metal",Metal
Antonín Dvořák,classical,"classical, romantic, czech, composers, composer",Classica
Gustav Mahler,classical,"classical, romantic, austrian, composers, instrumental",Classica
Xenia Rubinos,experimental,"experimental, art pop, rnb, indie, american",Pop
Pyotr Ilyich Tchaikovsky,classical,"classical, romantic, russian, composers, instrumental",Classica
Sum 41,punk rock,"punk rock, pop punk, punk, rock, alternative",Rock
Angèle,pop,"pop, belgium, indie pop, belgian, french pop",Pop
Fleetwood Mac,classic rock,"classic rock, rock, 70s, blues, pop",Rock
Camille Saint-Saëns,classical,"classical, romantic, french, composer, composers",Classica
Epica,symphonic metal,"symphonic metal, gothic metal, female fronted metal, metal, dutch",Metal
Jethro Tull,progressive rock,"progressive rock, classic rock, folk rock, rock, progressive",Rock
We Butter The Bread With Butter,deathcore,"deathcore, experimental, buttercore, grindcore, german",
Oklou,electronic,"electronic, art pop, french, ambient pop, alternative rnb",Elettronica / Dance
The Strokes,indie rock,"indie rock, indie, rock, alternative, alternative rock",Rock
Balmorhea,post-rock,"post-rock, instrumental, ambient, piano, acoustic",Rock
Frédéric Chopin,classical,"classical, piano, romantic, polish, instrumental",Classica
Lila Downs,latin,"latin, mexico, world, mexican, folk",Latino
Ólafur Arnalds,ambient,"ambient, instrumental, icelandic, post-rock, classical",Rock
death's dynamic shroud,vaporwave,"vaporwave, electronic, glitch pop, glitch, plunderphonics",Elettronica / Dance
Francesco Guccini,italian,"italian, singer-songwriter, folk, cantautori, cantautore",Folk / Cantautorato
Himera,trance,"trance, electronic, club, experimental, synth",Elettronica / Dance
Sufjan Stevens,folk,"folk, indie, singer-songwriter, alternative, indie rock",Folk / Cantautorato
Pink Floyd,progressive rock,"progressive rock, psychedelic rock, classic rock, rock, psychedelic",Rock
"Black Country, New Road",post-punk,"post-punk, post-rock, crank wave, indie rock, art rock",Punk
Richard Wagner,classical,"classical, opera, romantic, german, composers",Classica
Edvard Grieg,classical,"classical, romantic, norwegian, composers, piano",Classica
The Lumineers,folk,"folk, indie, folk rock, american, rock",Folk / Cantautorato
Premiata Forneria Marconi,progressive rock,"progressive rock, italian progressive rock, italian, progressive, italian prog",Rock
SPELLLING,art pop,"art pop, experimental, baroque pop, synthpop, ethereal wave",Pop
Juaneco Y Su Combo,cumbia,"cumbia, peru, chicha, latin, chill906",Latino
Passenger,folk,"folk, alternative metal, melodic death metal, nu metal, metal",Folk / Cantautorato
Bruce Springsteen,rock,"rock, classic rock, singer-songwriter, folk, 80s",Rock
Danit,acoustic,"acoustic, latin, usa, switzerland, spiritual",Latino
Johann Sebastian Bach,classical,"classical, baroque, instrumental, german, composers",Classica
Gia Margaret,ambient,"ambient, singer-songwriter, piano, indie, usa",Indie
Johannes Brahms,classical,"classical, romantic, german, composers, instrumental",Classica
Katy Perry,pop,"pop, pop rock, indie, rock, american",Pop
Maurice Ravel,classical,"classical, impressionist, french, composer, instrumental",Classica
Gaël Faye,rap,"rap, soul, burundi, french, rap francais",Hip Hop / Rap
George Frideric Handel,classical,"classical, baroque, german, composers, instrumental",Classica
Tame Impala,psychedelic rock,"psychedelic rock, psychedelic, indie rock, australian, rock",Rock
Claude Debussy,classical,"classical, piano, impressionist, french, composers",Classica
Tonino3000,italian,"italian, dance, cyberfolk, demenziale",Folk / Cantautorato
Avril Lavigne,pop rock,"pop rock, pop, rock, canadian, pop punk",Pop
Dire Straits,classic rock,"classic rock, rock, 80s, blues, guitar",Rock
Buena Vista Social Club,latin,"latin, cuban, jazz, latin jazz, world",Latino
James Blunt,pop,"pop, singer-songwriter, acoustic, indie, rock",Pop
Nightwish,symphonic metal,"symphonic metal, power metal, gothic metal, metal, female fronted metal",Metal
Flume,electronic,"electronic, chillout, wonky, australian, instrumental hip-hop",Elettronica / Dance
faccianuvola,electropop,"electropop, indie, dance, techno, italian",Pop
Hannah Diamond,bubblegum bass,"bubblegum bass, pop, pc music, electronic, flashwave",Pop
Caroline Polachek,art pop,"art pop, pop, electronic, synthpop, indie pop",Pop
Aaron Copland,classical,"classical, contemporary classical, american, 20th century classical, composers",Classica
Polyphia,progressive metal,"progressive metal, instrumental, djent, math metal, math rock",Metal
Mansfield.TYA,french,"french, folk, indie, avantgarde pop, france",Folk / Cantautorato
Miriam Makeba,african,"african, south africa, world, world music, africa",
One Direction,pop,"pop, british, boyband, x factor, pop rock",Pop
Jean Sibelius,classical,"classical, finnish, romantic, composers, instrumental",Classica
House of Waters,instrumental,"instrumental, hammered dulcimer, world, mellow, latin",Latino
THÉA,hyperpop,"hyperpop, punk, emo, pop, french",Pop
Imagine Dragons,indie,"indie, indie rock, alternative, rock, indie pop",Indie
Cavetown,indie pop,"indie pop, indie, pop, bedroom pop, lo-fi",Pop
toe,post-rock,"post-rock, math rock, instrumental, japanese, post rock",Rock
Elvis Presley,rock n roll,"rock n roll, classic rock, rock, oldies, rock and roll",Rock
Cirque du Soleil,new age,"new age, ambient, soundtrack, world, circus",
Susumu Yokota,ambient,"ambient, electronic, japanese, chillout, electronica",Elettronica / Dance
Van Morrison,singer-songwriter,"singer-songwriter, classic rock, folk, blues, rock",Rock
Eartheater,experimental,"experimental, electronic, art pop, ambient, freak folk",Elettronica / Dance
