artist_id,name,genres,popularity,followers,spotify_uri,spotify_url
4UpA1KitN1RgIZVyWDbZ0U,DOMi & JD BECK,,,,spotify:artist:4UpA1KitN1RgIZVyWDbZ0U,https://open.spotify.com/artist/4UpA1KitN1RgIZVyWDbZ0U
7HfUJxeVTgrvhk0eWHFzV7,underscores,,,,spotify:artist:7HfUJxeVTgrvhk0eWHFzV7,https://open.spotify.com/artist/7HfUJxeVTgrvhk0eWHFzV7
079svMEXkbT5nGU2kfoqO2,God Is An Astronaut,,,,spotify:artist:079svMEXkbT5nGU2kfoqO2,https://open.spotify.com/artist/079svMEXkbT5nGU2kfoqO2
6KWKXUiNss7StAqPsjDToB,Javier Vazquez,,,,spotify:artist:6KWKXUiNss7StAqPsjDToB,https://open.spotify.com/artist/6KWKXUiNss7StAqPsjDToB
2te8VJxgUxcElC8Uq6eJs6,Cibo Matto,,,,spotify:artist:2te8VJxgUxcElC8Uq6eJs6,https://open.spotify.com/artist/2te8VJxgUxcElC8Uq6eJs6
7tmTvmqgTBcX88ZrSHByrD,nayt,,,,spotify:artist:7tmTvmqgTBcX88ZrSHByrD,https://open.spotify.com/artist/7tmTvmqgTBcX88ZrSHByrD
34AMiSMNdLIBS0NapVfzLz,Rok.wav,,,,spotify:artist:34AMiSMNdLIBS0NapVfzLz,https://open.spotify.com/artist/34AMiSMNdLIBS0NapVfzLz
3SAZh4k4iDPFngB60QKpxg,okgiorgio,,,,spotify:artist:3SAZh4k4iDPFngB60QKpxg,https://open.spotify.com/artist/3SAZh4k4iDPFngB60QKpxg
2gW0M5fn2r7Lo4Hn1r8HZ5,Creeds,,,,spotify:artist:2gW0M5fn2r7Lo4Hn1r8HZ5,https://open.spotify.com/artist/2gW0M5fn2r7Lo4Hn1r8HZ5
0WCo84qtCKfbyIf1lqQWB4,Geese,,,,spotify:artist:0WCo84qtCKfbyIf1lqQWB4,https://open.spotify.com/artist/0WCo84qtCKfbyIf1lqQWB4
3MekbRujJg5VZThubOlrkR,Ninajirachi,,,,spotify:artist:3MekbRujJg5VZThubOlrkR,https://open.spotify.com/artist/3MekbRujJg5VZThubOlrkR
6GGkEuZHoNpJsKYNZml2gL,THÉA,,,,spotify:artist:6GGkEuZHoNpJsKYNZml2gL,https://open.spotify.com/artist/6GGkEuZHoNpJsKYNZml2gL
6uothxMWeLWIhsGeF7cyo4,Enya,,,,spotify:artist:6uothxMWeLWIhsGeF7cyo4,https://open.spotify.com/artist/6uothxMWeLWIhsGeF7cyo4
4UvhuGdFf75Cfan7lEU1J1,The Books,,,,spotify:artist:4UvhuGdFf75Cfan7lEU1J1,https://open.spotify.com/artist/4UvhuGdFf75Cfan7lEU1J1
4I2BJf80C0skQpp1sQmA0h,Belle and Sebastian,,,,spotify:artist:4I2BJf80C0skQpp1sQmA0h,https://open.spotify.com/artist/4I2BJf80C0skQpp1sQmA0h
70EQNEibJfmCE7J5k4t1JI,Massimo Silverio,,,,spotify:artist:70EQNEibJfmCE7J5k4t1JI,https://open.spotify.com/artist/70EQNEibJfmCE7J5k4t1JI
7aHh1erN0CVFVwDd7oG26M,Bumloco,,,,spotify:artist:7aHh1erN0CVFVwDd7oG26M,https://open.spotify.com/artist/7aHh1erN0CVFVwDd7oG26M
2gAch0mLs2isygfDZvfmav,TROE,,,,spotify:artist:2gAch0mLs2isygfDZvfmav,https://open.spotify.com/artist/2gAch0mLs2isygfDZvfmav
26rDnlXGp18EMtbgV7OwsW,Queen of Saba,,,,spotify:artist:26rDnlXGp18EMtbgV7OwsW,https://open.spotify.com/artist/26rDnlXGp18EMtbgV7OwsW
7F0wzg6BIXNOSrh8ixhobj,LA NIÑA,,,,spotify:artist:7F0wzg6BIXNOSrh8ixhobj,https://open.spotify.com/artist/7F0wzg6BIXNOSrh8ixhobj
2ZofT7n9AlTKf7KDCoHGgD,Luiz Gonzaga,,,,spotify:artist:2ZofT7n9AlTKf7KDCoHGgD,https://open.spotify.com/artist/2ZofT7n9AlTKf7KDCoHGgD
5KVUHVqS6B5MZKXf5PXDg1,faccianuvola,,,,spotify:artist:5KVUHVqS6B5MZKXf5PXDg1,https://open.spotify.com/artist/5KVUHVqS6B5MZKXf5PXDg1
7d1ctWXfrUvAe804Zld3Gy,Yoa,,,,spotify:artist:7d1ctWXfrUvAe804Zld3Gy,https://open.spotify.com/artist/7d1ctWXfrUvAe804Zld3Gy
7rlAAAiWScpsT1hmgURAmh,SPELLLING,,,,spotify:artist:7rlAAAiWScpsT1hmgURAmh,https://open.spotify.com/artist/7rlAAAiWScpsT1hmgURAmh
3XHO7cRUPCLOr6jwp8vsx5,alt-J,,,,spotify:artist:3XHO7cRUPCLOr6jwp8vsx5,https://open.spotify.com/artist/3XHO7cRUPCLOr6jwp8vsx5
3luonLzvSOxdU8ytCaEIK8,IC3PEAK,,,,spotify:artist:3luonLzvSOxdU8ytCaEIK8,https://open.spotify.com/artist/3luonLzvSOxdU8ytCaEIK8
7tYKF4w9nC0nq9CsPZTHyP,SZA,,,,spotify:artist:7tYKF4w9nC0nq9CsPZTHyP,https://open.spotify.com/artist/7tYKF4w9nC0nq9CsPZTHyP
55Aa2cqylxrFIXC767Z865,Lil Wayne,,,,spotify:artist:55Aa2cqylxrFIXC767Z865,https://open.spotify.com/artist/55Aa2cqylxrFIXC767Z865
3koHmmPvpgZWHcVmK8AKDq,HVDES,,,,spotify:artist:3koHmmPvpgZWHcVmK8AKDq,https://open.spotify.com/artist/3koHmmPvpgZWHcVmK8AKDq
43JlwunhXm1oqdKyOa2Z9Y,Hiatus Kaiyote,,,,spotify:artist:43JlwunhXm1oqdKyOa2Z9Y,https://open.spotify.com/artist/43JlwunhXm1oqdKyOa2Z9Y
7LCDnUQYE07fnKbo46SVLB,Iglooghost,,,,spotify:artist:7LCDnUQYE07fnKbo46SVLB,https://open.spotify.com/artist/7LCDnUQYE07fnKbo46SVLB
1r43wW70tnGUauQYvY5w48,BENNETT,,,,spotify:artist:1r43wW70tnGUauQYvY5w48,https://open.spotify.com/artist/1r43wW70tnGUauQYvY5w48
