Artista,Traccia,Album,MilliSec,Ascolti,AscoltiFilter
Billie Eilish,Happier Than Ever,Happier Than Ever,85463982,353,288
Lhasa De Sela,Fool's Gold,Lhasa,60879899,351,303
Olivia Rodrigo,good 4 u,SOUR,46347813,334,259
jizue,habana,story,53273263,205,162
The Strokes,The Adults Are Talking,The New Abnormal,43497731,194,147
Gabry Ponte,Tanja,Tanja,28239391,183,144
100 gecs,xXXi_wud_nvrstøp_ÜXXx (Remix) [feat. Tommy Cash & Hannah Diamond],1000 gecs and The Tree of Clues,40077455,177,149
Moriarty,Jimmy,Gee Whiz But This Is a Lonesome Town,35605246,175,137
Camila Cabello,Bam Bam (feat. Ed Sheeran),Bam Bam (feat. Ed Sheeran),29013565,175,132
Lhasa De Sela,A Fish on Land,Lhasa,26517270,174,123
Neutral Milk Hotel,"Holland, 1945",In the Aeroplane Over the Sea,29923199,169,148
System Of A Down,Chop Suey!,Toxicity,24873767,164,110
Francesco Guccini,Vedi Cara - Remaster 1996,The Platinum Collection,38296658,159,131
Pop X,Secchio,Lesbianitj,15217931,157,67
Danit,Presencia,Aliento,41486664,154,127
Xenia Rubinos,Sacude,Una Rosa,32708802,154,129
Billie Eilish,TV,Guitar Songs,34152930,154,124
Electric Light Orchestra,Wild West Hero,Out of the Blue,37838691,149,130
Fabrizio De André,Crêuza de mä - New Mix 2014,Creuza de ma,32049310,149,92
Giacomo Puccini,"Turandot, Act III: Nessun dorma!",Puccini: Turandot - Highlights,21134810,148,121
Leah Kate,10 Things I Hate About You,10 Things I Hate About You,14114292,144,92
George Frideric Handel,"Handel / Orch. Hale: Keyboard Suite No. 4 in D Minor, HWV 437: III. Sarabande",Handel Sarabande,24552326,143,119
Scott McKenzie,San Francisco (Be Sure to Wear Flowers in Your Hair) - Single Version,San Francisco,23436208,141,127
Lewis Capaldi,Heavenly Kind Of State Of Mind,Broken By Desire To Be Heavenly Sent,18296012,141,96
Elliott Smith,Between The Bars,Either/Or,17578971,138,114
EASYFUN,Be Your USA,Be Your USA,20080468,138,118
Curawaka,Noku Mana,Call of the Wild,44257147,137,108
Billie Eilish,everything i wanted,everything i wanted,21398270,134,96
Bruce Springsteen,The Ghost of Tom Joad,The Ghost Of Tom Joad,17901259,133,71
Gustav Mahler,Mahler: Symphony No. 5 in C-Sharp Minor: IV. Adagietto. Sehr langsam,Mahler: Symphony No. 5,60690353,132,113
Neutral Milk Hotel,In the Aeroplane Over the Sea,In the Aeroplane Over the Sea,22034823,130,114
Pomme,Ceux qui rêvent,À peu près,13556905,128,112
Pinguini Tattici Nucleari,Lake Washington Boulevard,Fuori dall'Hype,20697709,127,88
SPELLLING,Boys at School,The Turning Wheel,47795735,127,116
Lila Downs,La Cumbia Del Mole,La Cantina,25716612,126,105
Gargäntua,La mort avec toi,La mort avec toi,19873619,125,101
Lewis Capaldi,Before You Go,Divinely Uninspired To A Hellish Extent,16016265,125,78
Mahala Rai Banda,Mahalageasca,Mahala Rai Banda,21881923,124,94
SPELLLING,Little Deer,The Turning Wheel,34505888,124,108
Elton John,"Rocket Man (I Think It's Going To Be A Long, Long Time)",Honky Chateau,20683929,123,78
Angèle,Balance ton quoi,Brol,20340144,123,108
Juaneco Y Su Combo,Ya Se Ha Muerto Mi Abuelo,Leyenda Amazónica,21505389,123,91
Em Beihold,Numb Little Bug,Numb Little Bug,15090231,122,88
We Butter The Bread With Butter,Extrem,Das Monster aus dem Schrank,28563048,121,101
Buena Vista Social Club,Chan Chan,Buena Vista Social Club,19359154,120,81
The Strokes,Selfless,The New Abnormal,22683776,119,104
Edvard Grieg,"Piano Concerto in A minor, Op. 16: II. Adagio - Live","Wonderland - Edvard Grieg: Piano Concerto, Lyric Pieces",41482365,118,108
Shantel,Mahalageasca - Shantel DUB,Shantology // The Bucovina Club Years,22614398,118,90
BANNERS,Someone To You,Empires On Fire,12380172,117,65
Pinguini Tattici Nucleari,Bagatelle,Il Re è nudo,15981054,115,70
Dom La Nena,La Marelle / Amarelinha,Ramages,18194541,114,94
Melody Gardot,Once I Was Loved,Currency Of Man,27230980,113,93
Pop X,Regina,Musica Per Noi,17052549,112,89
Nanan,Casa da Floresta,Movimento: Manifesta Sentimento,27453342,111,85
Rok.wav,Quoi de neuf les voyous,Quoi de neuf les voyous,17017790,111,92
Jethro Tull,Aqualung,Aqualung,32329033,110,85
Ludwig van Beethoven,Beethoven: Speaking Unto Nations (Beethoven Symphony no 7 - II ),The King's Speech OST,30578316,109,105
Keala Settle,This Is Me,The Greatest Showman (Original Motion Picture Soundtrack),16831644,109,76
Beirut,Nantes,The Flying Club Cup,18341999,108,81
Hector Berlioz,"Symphonie fantastique, Op. 14: Marche au supplice (Allegro non troppo)",Berlioz: Symphonie fantastique: Rameau: Suite de Hippolyte et aricie,28267976,108,69
Ludwig van Beethoven,"Piano Concerto No. 5 in E-Flat Major, Op. 73 ""Emperor"": II. Adagio un poco mosso",Beethoven: The 5 Piano Concertos,45028643,108,89
Hugh Jackman,The Other Side,The Greatest Showman (Original Motion Picture Soundtrack),16343692,108,79
Cavetown,Green,Lemon Boy,24863830,105,92
Zac Efron,Rewrite The Stars,The Greatest Showman (Original Motion Picture Soundtrack),17686231,105,82
Genesis,Firth Of Fifth - Remastered 2008,Selling England By The Pound,42522707,104,85
Billy Joel,Vienna,The Stranger (Legacy Edition),11879619,104,59
